title,price_gbp,rating
Poisonous (Max Revere Novels #3),26.8,3
Most Wanted,35.28,3
The Widow,27.26,2
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5
Delivering the Truth (Quaker Midwife Mystery #1),20.89,4
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4
In the Woods (Dublin Murder Squad #1),38.38,2
The Silkworm (Cormoran Strike #2),23.05,5
Extreme Prey (Lucas Davenport #26),25.4,3
Career of Evil (Cormoran Strike #3),24.72,2
Blood Defense (Samantha Brinkman #1),20.3,3
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3
The House by the Lake,36.95,1
Mrs. Houdini,30.25,5
The Marriage of Opposites,28.08,4
"Love, Lies and Spies",20.55,2
A Paris Apartment,39.01,4
The Invention of Wings,37.34,1
World Without End (The Pillars of the Earth #2),32.97,4
The Passion of Dolssa,28.32,5
Girl With a Pearl Earring,26.77,1
Voyager (Outlander #3),21.07,5
The Red Tent,35.66,5
Between Shades of Gray,20.79,5
The Secret Healer,34.56,3
Starlark,25.83,3
Lost Among the Living,27.7,4
Shakespeare's Sonnets,20.66,4
Olio,23.88,1
You can't bury them all: Poems,33.63,2
Les Fleurs du Mal,29.04,5
The Crossover,38.77,4
Twenty Love Poems and a Song of Despair,30.95,4
