title,rating,category_id
Sharp Objects,4,1
The Past Never Ends,4,1
The Murder of Roger Ackroyd (Hercule Poirot #4),4,1
A Time of Torment (Charlie Parker #14),5,1
Murder at the 42nd Street Library (Raymond Ambler #1),4,1
What Happened on Beale Street (Secrets of the South Mysteries #2),5,1
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),5,1
Delivering the Truth (Quaker Midwife Mystery #1),4,1
The Mysterious Affair at Styles (Hercule Poirot #1),4,1
The Silkworm (Cormoran Strike #2),5,1
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),4,1
The Girl You Lost,5,1
A Flight of Arrows (The Pathfinders #2),5,2
Mrs. Houdini,5,2
The Marriage of Opposites,4,2
A Paris Apartment,4,2
World Without End (The Pillars of the Earth #2),4,2
The Passion of Dolssa,5,2
Voyager (Outlander #3),5,2
The Red Tent,5,2
Between Shades of Gray,5,2
While You Were Mine,5,2
Lost Among the Living,4,2
A Spy's Devotion (The Regency Spies of London #1),5,2
Shakespeare's Sonnets,4,3
Untitled Collection: Sabbath Poems 2014,4,3
Poems That Make Grown Women Cry,4,3
salt.,4,3
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",5,3
Out of Print: City Lights Spotlight No. 14,5,3
Les Fleurs du Mal,5,3
Leave This Song Behind: Teen Poetry at Its Best,5,3
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),5,3
The Crossover,4,3
Booked,5,3
Twenty Love Poems and a Song of Despair,4,3
