book_id,title,category_name,rating,price_gbp,price_inr
35,A Flight of Arrows (The Pathfinders #2),Historical Fiction,5,55.53,5858.415
58,A Spy's Devotion (The Regency Spies of London #1),Historical Fiction,5,16.97,1790.3349999999998
9,A Time of Torment (Charlie Parker #14),Mystery,5,48.35,5100.925
53,Between Shades of Gray,Historical Fiction,5,20.79,2193.345
76,Booked,Poetry,5,17.49,1845.195
73,Leave This Song Behind: Teen Poetry at Its Best,Poetry,5,51.17,5398.435
71,Les Fleurs du Mal,Poetry,5,29.04,3063.72
37,Mrs. Houdini,Historical Fiction,5,30.25,3191.375
70,Out of Print: City Lights Spotlight No. 14,Poetry,5,53.64,5659.02
69,"Quarter Life Poetry: Poems for the Young, Broke and Hangry",Poetry,5,50.89,5368.895
19,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,5,52.3,5517.65
74,The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),Poetry,5,15.42,1626.81
29,The Girl You Lost,Mystery,5,12.29,1296.5949999999998
46,The Passion of Dolssa,Historical Fiction,5,28.32,2987.76
49,The Red Tent,Historical Fiction,5,35.66,3762.1299999999997
23,The Silkworm (Cormoran Strike #2),Mystery,5,23.05,2431.775
48,Voyager (Outlander #3),Historical Fiction,5,21.07,2222.885
18,What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,5,25.37,2676.5350000000003
54,While You Were Mine,Historical Fiction,5,41.32,4359.26
41,A Paris Apartment,Historical Fiction,4,39.01,4115.554999999999
20,Delivering the Truth (Quaker Midwife Mystery #1),Mystery,4,20.89,2203.895
57,Lost Among the Living,Historical Fiction,4,27.7,2922.35
12,Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,4,54.36,5734.98
66,Poems That Make Grown Women Cry,Poetry,4,14.19,1497.0449999999998
61,Shakespeare's Sonnets,Poetry,4,20.66,2179.63
1,Sharp Objects,Mystery,4,47.82,5045.01
75,The Crossover,Poetry,4,38.77,4090.235
38,The Marriage of Opposites,Historical Fiction,4,28.08,2962.4399999999996
5,The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,4,44.1,4652.55
21,The Mysterious Affair at Styles (Hercule Poirot #1),Mystery,4,24.8,2616.4
28,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Mystery,4,57.7,6087.35
3,The Past Never Ends,Mystery,4,56.5,5960.75
77,Twenty Love Poems and a Song of Despair,Poetry,4,30.95,3265.225
65,Untitled Collection: Sabbath Poems 2014,Poetry,4,14.27,1505.485
45,World Without End (The Pillars of the Earth #2),Historical Fiction,4,32.97,3478.335
68,salt.,Poetry,4,46.78,4935.29
59,A Light in the Attic,Poetry,3,51.77,5461.735000000001
31,Blood Defense (Samantha Brinkman #1),Mystery,3,20.3,2141.65
15,Boar Island (Anna Pigeon #19),Mystery,3,59.48,6275.139999999999
26,Extreme Prey (Lucas Davenport #26),Mystery,3,25.4,2679.7
34,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,3,29.69,3132.295
39,Glory over Everything: Beyond The Kitchen House,Historical Fiction,3,45.84,4836.120000000001
13,Most Wanted,Mystery,3,35.28,3722.04
17,Playing with Fire,Mystery,3,13.71,1446.4050000000002
11,Poisonous (Max Revere Novels #3),Mystery,3,26.8,2827.4
64,Slow States of Collapse: Poems,Poetry,3,57.31,6046.205
56,Starlark,Historical Fiction,3,25.83,2725.0649999999996
43,The Constant Princess (The Tudor Court #1),Historical Fiction,3,16.62,1753.41
24,The Exiled,Mystery,3,43.45,4583.975
30,The Girl In The Ice (DCI Erika Foster #1),Mystery,3,15.85,1672.175
55,The Secret Healer,Historical Fiction,3,34.56,3646.0800000000004
10,A Study in Scarlet (Sherlock Holmes #1),Mystery,2,16.73,1765.015
27,Career of Evil (Cormoran Strike #3),Mystery,2,24.72,2607.96
52,Girl in the Blue Coat,Historical Fiction,2,46.83,4940.565
72,Howl and Other Poems,Poetry,2,40.45,4267.475
22,In the Woods (Dublin Murder Squad #1),Mystery,2,38.38,4049.09
42,Lilac Girls,Historical Fiction,2,17.28,1823.0400000000002
40,"Love, Lies and Spies",Historical Fiction,2,20.55,2168.025
6,The Last Mile (Amos Decker #2),Mystery,2,54.21,5719.155
50,The Last Painting of Sara de Vos,Historical Fiction,2,55.55,5860.525
16,The Widow,Mystery,2,27.26,2875.9300000000003
63,You can't bury them all: Poems,Poetry,2,33.63,3547.965
32,1st to Die (Women's Murder Club #1),Mystery,1,53.98,5694.889999999999
4,A Murder in Time,Mystery,1,16.64,1755.52
47,Girl With a Pearl Earring,Historical Fiction,1,26.77,2824.235
14,Hide Away (Eve Duncan #20),Mystery,1,11.84,1249.12
2,"In a Dark, Dark Wood",Mystery,1,19.63,2070.9649999999997
67,Night Sky with Exit Wounds,Poetry,1,41.05,4330.775
62,Olio,Poetry,1,23.88,2519.3399999999997
8,Tastes Like Fear (DI Marnie Rome #3),Mystery,1,10.69,1127.7949999999998
7,That Darkness (Gardiner and Renner #1),Mystery,1,13.92,1468.56
60,The Black Maria,Poetry,1,52.15,5501.825
25,The Cuckoo's Calling (Cormoran Strike #1),Mystery,1,19.21,2026.6550000000002
51,The Guernsey Literary and Potato Peel Pie Society,Historical Fiction,1,49.53,5225.415
36,The House by the Lake,Historical Fiction,1,36.95,3898.2250000000004
44,The Invention of Wings,Historical Fiction,1,37.34,3939.3700000000003
33,Tipping the Velvet,Historical Fiction,1,53.74,5669.570000000001
