book_id,title,category_name,rating,price_gbp,price_inr
35,A Flight of Arrows (The Pathfinders #2),Historical Fiction,5,55.53,5858.415
58,A Spy's Devotion (The Regency Spies of London #1),Historical Fiction,5,16.97,1790.335
9,A Time of Torment (Charlie Parker #14),Mystery,5,48.35,5100.925
53,Between Shades of Gray,Historical Fiction,5,20.79,2193.345
76,Booked,Poetry,5,17.49,1845.195
73,Leave This Song Behind: Teen Poetry at Its Best,Poetry,5,51.17,5398.435
71,Les Fleurs du Mal,Poetry,5,29.04,3063.72
37,Mrs. Houdini,Historical Fiction,5,30.25,3191.375
70,Out of Print: City Lights Spotlight No. 14,Poetry,5,53.64,5659.02
69,"Quarter Life Poetry: Poems for the Young, Broke and Hangry",Poetry,5,50.89,5368.895
