title,price_inr,rating
Boar Island (Anna Pigeon #19),6275.139999999999,3
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),6087.35,4
Slow States of Collapse: Poems,6046.205,3
The Past Never Ends,5960.75,4
The Last Painting of Sara de Vos,5860.525,2
A Flight of Arrows (The Pathfinders #2),5858.415,5
Murder at the 42nd Street Library (Raymond Ambler #1),5734.98,4
The Last Mile (Amos Decker #2),5719.155,2
1st to Die (Women's Murder Club #1),5694.889999999999,1
Tipping the Velvet,5669.570000000001,1
